occupancy_date,sector,capacity_type,location_city,occupied_beds,capacity_actual_bed,occupied_rooms,capacity_actual_room,occupancy_rate_beds,occupancy_rate_rooms,occupancy_rate
2024-01-03,Men,Bed Based Capacity,Toronto,59,68,0,0,0.8676470588235294,0,86.76470588235294
2024-01-03,Mixed Adult,Room Based Capacity,Vaughan,0,0,65,69,0,0.9420289855072463,94.20289855072464
2024-01-03,Men,Bed Based Capacity,Toronto,46,48,0,0,0.9583333333333334,0,95.83333333333334
2024-01-03,Men,Bed Based Capacity,Toronto,100,100,0,0,1,0,100
2024-01-03,Families,Room Based Capacity,Toronto,0,0,33,33,0,1,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,47,48,0,0,0.9791666666666666,0,97.91666666666666
2024-01-03,Mixed Adult,Room Based Capacity,NA,0,0,133,133,0,1,100
2024-01-03,Mixed Adult,Room Based Capacity,NA,0,0,14,14,0,1,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,93,93,0,0,1,0,100
2024-01-03,Men,Bed Based Capacity,Toronto,62,62,0,0,1,0,100
2024-01-03,Men,Bed Based Capacity,Toronto,66,67,0,0,0.9850746268656716,0,98.50746268656717
2024-01-03,Men,Bed Based Capacity,Toronto,118,119,0,0,0.9915966386554622,0,99.15966386554622
2024-01-03,Men,Bed Based Capacity,Toronto,31,36,0,0,0.8611111111111112,0,86.11111111111111
2024-01-03,Men,Bed Based Capacity,Toronto,16,16,0,0,1,0,100
2024-01-03,Men,Bed Based Capacity,Toronto,53,53,0,0,1,0,100
2024-01-03,Men,Bed Based Capacity,Toronto,106,106,0,0,1,0,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,33,35,0,0,0.9428571428571428,0,94.28571428571428
2024-01-03,Mixed Adult,Room Based Capacity,Toronto,0,0,63,65,0,0.9692307692307692,96.92307692307692
2024-01-03,Women,Bed Based Capacity,Toronto,88,88,0,0,1,0,100
2024-01-03,Men,Bed Based Capacity,Toronto,28,28,0,0,1,0,100
2024-01-03,Youth,Bed Based Capacity,Toronto,1,2,0,0,0.5,0,50
2024-01-03,Youth,Bed Based Capacity,Toronto,94,94,0,0,1,0,100
2024-01-03,Youth,Bed Based Capacity,Toronto,29,30,0,0,0.9666666666666667,0,96.66666666666667
2024-01-03,Youth,Bed Based Capacity,Toronto,26,28,0,0,0.9285714285714286,0,92.85714285714286
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,78,78,0,0,1,0,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,119,119,0,0,1,0,100
