occupancy_date,sector,capacity_type,location_city,occupancy_rate
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Women,Room Based Capacity,North York,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Room Based Capacity,Scarborough,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Room Based Capacity,North York,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Men,Bed Based Capacity,Toronto,100
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,NA,100
2024-01-02,Families,Room Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,100
2024-01-02,Women,Bed Based Capacity,Toronto,100
2024-01-02,Youth,Bed Based Capacity,Toronto,96.29629629629628
2024-01-02,Youth,Bed Based Capacity,Etobicoke,100
2024-01-02,Youth,Bed Based Capacity,Etobicoke,95
2024-01-02,Youth,Bed Based Capacity,Scarborough,100
2024-01-02,Youth,Bed Based Capacity,Scarborough,97.5609756097561
2024-01-03,Families,Room Based Capacity,Toronto,99.33333333333331
2024-01-03,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,North York,100
2024-01-03,Families,Room Based Capacity,North York,100
2024-01-03,Mixed Adult,Room Based Capacity,Etobicoke,100
2024-01-03,Men,Room Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,100
2024-01-03,Mixed Adult,Room Based Capacity,North York,98.66666666666669
2024-01-03,Men,Bed Based Capacity,Toronto,83.33333333333334
